Url,Title,Keywords,Doi,Entrytype,Id,Year,Volume,Publisher,Month,Journal,Issn,Author,Abstract,Issue,Pages,Pmid,Number,Pubmedid,Article-number,Booktitle,Name,No. of Citations,Initial Letter
www.escardio.org/guidelines,2020 ESC Guidelines for the management of acute coronary syndromes in patients presenting without persistent ST-segment elevation The Task Force for the management of acute coronary syndromes in patients presenting without persistent ST-segment elevation of the European Society of Cardiology (ESC),"Cardiovascular Surgery,Coronary Pathophysiology and Microcirculation,Councils: Council for Cardiology Practice Working Groups: Cardiovascular Pharmacotherapy,Thrombosis",10.1093/eurheartj/ehaa575,article,ESC2020,,,,,,,,,,,,1,,,,2020 ESC Guidelines for the management of acute coronary syndromes in patients presenting without persistent ST-segment elevation The Task Force for the management of acute coronary syndromes in patients presenting without persistent ST-segment elevation of the European Society of Cardiology (ESC),,2
https://www.nature.com/articles/s41598-021-81044-7#citeas,A deep learning based framework for the registration of three dimensional multi-modal medical images of the head,,10.1038/s41598-021-81044-7,article,islam2021multislice,2021,11,,,Scientific Reports,,"Islam,K.T.,Wijewickrema,S.,O’Leary,S.","Image registration is a fundamental task in image analysis in which the transform that moves the coordinate system of one image to another is calculated. Registration of multi-modal medical images has important implications for clinical diagnosis, treatment planning, and image-guided surgery as it provides the means of bringing together complimentary information obtained from different image modalities. However, since different image modalities have different properties due to their different acquisition methods, it remains a challenging task to find a fast and accurate match between multi-modal images. Furthermore, due to reasons such as ethical issues and need for human expert intervention, it is difficult to collect a large database of labelled multi-modal medical images. In addition, manual input is required to determine the fixed and moving images as input to registration algorithms. In this paper, we address these issues and introduce a registration framework that (1) creates synthetic data to augment existing datasets, (2) generates ground truth data to be used in the training and testing of algorithms, (3) registers (using a combination of deep learning and conventional machine learning methods) multi-modal images in an accurate and fast manner, and (4) automatically classifies the image modality so that the process of registration can be fully automated. We validate the performance of the proposed framework on CT and MRI images of the head obtained from a publicly available registration database.",,,,2,,1860,,A deep learning based framework for the registration of three dimensional multi-modal medical images of the head,,A
https://github.com/slundberg/shap,A Unified Approach to Interpreting Model Predictions,,,techreport,Lundberg2017,2017,,,,,,"Scott M Lundberg,Paul G Allen,Su-In Lee","Understanding why a model makes a certain prediction can be as crucial as the prediction's accuracy in many applications. However, the highest accuracy for large modern datasets is often achieved by complex models that even experts struggle to interpret, such as ensemble or deep learning models, creating a tension between accuracy and interpretability. In response, various methods have recently been proposed to help users interpret the predictions of complex models, but it is often unclear how these methods are related and when one method is preferable over another. To address this problem, we present a unified framework for interpreting predictions, SHAP (SHapley Additive exPlanations). SHAP assigns each feature an importance value for a particular prediction. Its novel components include: (1) the identification of a new class of additive feature importance measures, and (2) theoretical results showing there is a unique solution in this class with a set of desirable properties. The new class unifies six existing methods, notable because several recent methods in the class lack the proposed desirable properties. Based on insights from this unification, we present new methods that show improved computational performance and/or better consistency with human intuition than previous approaches.",,,,3,,,,A Unified Approach to Interpreting Model Predictions,,A
,Advanced Cardiovascular Magnetic Resonance Imaging in Takotsubo Syndrome: Update on Feature Tracking and Tissue Mapping,"Cardiovascular Magnetic Resonance,Feature Tracking,Mapping,Takotsubo",10.1007/s12410-024-09593-9,misc,Sclafani2024,2024,17,Springer,6,Current Cardiovascular Imaging Reports,19419074,"Matteo Sclafani,Giacomo Tini,Beatrice Musumeci,Alessandro Cianca,Viviana Maestrini,Luca Cacciotti,Luca Arcari","Backgrounds: Takotsubo syndrome (TTS) is an intriguing clinical entity characterized by transient myocardial dysfunction. The precise pathophysiological mechanism of TTS is still unknown, but recent evidence suggests a central role of systemic inflammation associated with adrenergic discharge. Although initially considered benign, TTS has shown several potential short-term and long-term complications and adverse outcomes. To improve understanding and management, advanced cardiovascular magnetic resonance (CMR) techniques, such as feature tracking (FT) and parametric mapping, have gained attention. Purpose of Review: The purpose of this review is to summarize the current literature on the clinical applications of CMR-FT and mapping in TTS. Additionally, the most significant and recent findings will be discussed. Recent Findings: FT-CMR enables the parametric quantification of myocardial deformation, allowing a comprehensive evaluation of left ventricular, right ventricular, and atrial function. It provides an accurate definition of areas of myocardial dysfunction and potentially serves as a superior prognostic tool compared to ejection fraction. Tissue mapping techniques enable precise and comprehensive tissue characterization by quantifying areas of oedema, and myocardial fibrosis. Summary: FT-CMR and mapping techniques serve as valuable prognostic tools both in the acute and chronic phases of TTS. They can detect subtle alterations and pan-cardiac involvement, while also providing important insights into the complex underlying mechanisms of the syndrome.",6,61-71,,4,,,,Advanced Cardiovascular Magnetic Resonance Imaging in Takotsubo Syndrome: Update on Feature Tracking and Tissue Mapping,,A
,Application of AI in cardiovascular multimodality imaging,"Artificial intelligence,Cardiac computed tomography angiography,Cardiac magnetic resonance,Coronary plaque,Late gadolinium enhancement,echocardiography",10.1016/j.heliyon.2022.e10872,misc,Muscogiuri2022,2022,8,Elsevier Ltd,10,Heliyon,24058440,"Giuseppe Muscogiuri,Valentina Volpato,Riccardo Cau,Mattia Chiesa,Luca Saba,Marco Guglielmo,Alberto Senatieri,Gregorio Chierchia,Gianluca Pontone,Serena Dell'Aversana,U. Joseph Schoepf,Mason G. Andrews,Paolo Basile,Andrea Igoren Guaricci,Paolo Marra,Denisa Muraru,Luigi P. Badano,Sandro Sironi","Technical advances in artificial intelligence (AI) in cardiac imaging are rapidly improving the reproducibility of this approach and the possibility to reduce time necessary to generate a report. In cardiac computed tomography angiography (CCTA) the main application of AI in clinical practice is focused on detection of stenosis, characterization of coronary plaques, and detection of myocardial ischemia. In cardiac magnetic resonance (CMR) the application of AI is focused on post-processing and particularly on the segmentation of cardiac chambers during late gadolinium enhancement. In echocardiography, the application of AI is focused on segmentation of cardiac chambers and is helpful for valvular function and wall motion abnormalities. The common thread represented by all of these techniques aims to shorten the time of interpretation without loss of information compared to the standard approach. In this review we provide an overview of AI applications in multimodality cardiac imaging.",10,,,5,,,,Application of AI in cardiovascular multimodality imaging,,A
,Artificial Intelligence Applications in Cardiovascular Magnetic Resonance Imaging: Are We on the Path to Avoiding the Administration of Contrast Media?,"AI,CMR,cardiovascular imaging,non-contrast images",10.3390/diagnostics13122061,misc,Cau2023-14,2023,13,Multidisciplinary Digital Publishing Institute (MDPI),6,Diagnostics,20754418,"Riccardo Cau,Francesco Pisu,Jasjit S. Suri,Lorenzo Mannelli,Mariano Scaglione,Salvatore Masala,Luca Saba","In recent years, cardiovascular imaging examinations have experienced exponential growth due to technological innovation, and this trend is consistent with the most recent chest pain guidelines. Contrast media have a crucial role in cardiovascular magnetic resonance (CMR) imaging, allowing for more precise characterization of different cardiovascular diseases. However, contrast media have contraindications and side effects that limit their clinical application in determinant patients. The application of artificial intelligence (AI)-based techniques to CMR imaging has led to the development of non-contrast models. These AI models utilize non-contrast imaging data, either independently or in combination with clinical and demographic data, as input to generate diagnostic or prognostic algorithms. In this review, we provide an overview of the main concepts pertaining to AI, review the existing literature on non-contrast AI models in CMR, and finally, discuss the strengths and limitations of these AI models and their possible future development.",12,,,6,,,,Artificial Intelligence Applications in Cardiovascular Magnetic Resonance Imaging: Are We on the Path to Avoiding the Administration of Contrast Media?,,A
,Artificial Intelligence in the Differential Diagnosis of Cardiomyopathy Phenotypes,"artificial intelligence,cardiomyopathy,deep learning,machine learning",10.3390/diagnostics14020156,misc,Cau2024-15,2024,14,Multidisciplinary Digital Publishing Institute (MDPI),1,Diagnostics,20754418,"Riccardo Cau,Francesco Pisu,Jasjit S. Suri,Roberta Montisci,Marco Gatti,Lorenzo Mannelli,Xiangyang Gong,Luca Saba","Artificial intelligence (AI) is rapidly being applied to the medical field, especially in the cardiovascular domain. AI approaches have demonstrated their applicability in the detection, diagnosis, and management of several cardiovascular diseases, enhancing disease stratification and typing. Cardiomyopathies are a leading cause of heart failure and life-threatening ventricular arrhythmias. Identifying the etiologies is fundamental for the management and diagnostic pathway of these heart muscle diseases, requiring the integration of various data, including personal and family history, clinical examination, electrocardiography, and laboratory investigations, as well as multimodality imaging, making the clinical diagnosis challenging. In this scenario, AI has demonstrated its capability to capture subtle connections from a multitude of multiparametric datasets, enabling the discovery of hidden relationships in data and handling more complex tasks than traditional methods. This review aims to present a comprehensive overview of the main concepts related to AI and its subset. Additionally, we review the existing literature on AI-based models in the differential diagnosis of cardiomyopathy phenotypes, and we finally examine the advantages and limitations of these AI approaches.",2,,38248033,7,,,,Artificial Intelligence in the Differential Diagnosis of Cardiomyopathy Phenotypes,,A
,Assessment of Artificial Intelligence in Echocardiography Diagnostics in Differentiating Takotsubo Syndrome from Myocardial Infarction,,10.1001/jamacardio.2022.0183,article,Laumer2022,2022,7,American Medical Association,5,JAMA Cardiology,23806591,"Fabian Laumer,Davide Di Vece,Victoria L. Cammann,Michael Würdinger,Vanya Petkova,Maximilian Schönberger,Alexander Schönberger,Julien C. Mercier,David Niederseer,Burkhardt Seifert,Moritz Schwyzer,Rebekka Burkholz,Luca Corinzia,Anton S. Becker,Frank Scherff,Sofie Brouwers,Aju P. Pazhenkottil,Svetlana Dougoud,Michael Messerli,Felix C. Tanner,Thomas Fischer,Victoria Delgado,P. Christian Schulze,Christian Hauck,Lars S. Maier,Ha Nguyen,Sven Y. Surikow,John Horowitz,Kan Liu,Rodolfo Citro,Jeroen Bax,Frank Ruschitzka,Jelena Rima Ghadri,Joachim M. Buhmann,Christian Templin","Importance: Machine learning algorithms enable the automatic classification of cardiovascular diseases based on raw cardiac ultrasound imaging data. However, the utility of machine learning in distinguishing between takotsubo syndrome (TTS) and acute myocardial infarction (AMI) has not been studied. Objectives: To assess the utility of machine learning systems for automatic discrimination of TTS and AMI. Design, Settings, and Participants: This cohort study included clinical data and transthoracic echocardiogram results of patients with AMI from the Zurich Acute Coronary Syndrome Registry and patients with TTS obtained from 7 cardiovascular centers in the International Takotsubo Registry. Data from the validation cohort were obtained from April 2011 to February 2017. Data from the training cohort were obtained from March 2017 to May 2019. Data were analyzed from September 2019 to June 2021. Exposure: Transthoracic echocardiograms of 224 patients with TTS and 224 patients with AMI were analyzed. Main Outcomes and Measures: Area under the receiver operating characteristic curve (AUC), accuracy, sensitivity, and specificity of the machine learning system evaluated on an independent data set and 4 practicing cardiologists for comparison. Echocardiography videos of 228 patients were used in the development and training of a deep learning model. The performance of the automated echocardiogram video analysis method was evaluated on an independent data set consisting of 220 patients. Data were matched according to age, sex, and ST-segment elevation/non-ST-segment elevation (1 patient with AMI for each patient with TTS). Predictions were compared with echocardiographic-based interpretations from 4 practicing cardiologists in terms of sensitivity, specificity, and AUC calculated from confidence scores concerning their binary diagnosis. Results: In this cohort study, apical 2-chamber and 4-chamber echocardiographic views of 110 patients with TTS (mean [SD] age, 68.4 [12.1] years; 103 [90.4%] were female) and 110 patients with AMI (mean [SD] age, 69.1 [12.2] years; 103 [90.4%] were female) from an independent data set were evaluated. This approach achieved a mean (SD) AUC of 0.79 (0.01) with an overall accuracy of 74.8 (0.7%). In comparison, cardiologists achieved a mean (SD) AUC of 0.71 (0.03) and accuracy of 64.4 (3.5%) on the same data set. In a subanalysis based on 61 patients with apical TTS and 56 patients with AMI due to occlusion of the left anterior descending coronary artery, the model achieved a mean (SD) AUC score of 0.84 (0.01) and an accuracy of 78.6 (1.6%), outperforming the 4 practicing cardiologists (mean [SD] AUC, 0.72 [0.02]) and accuracy of 66.9 (2.8%). Conclusions and Relevance: In this cohort study, a real-time system for fully automated interpretation of echocardiogram videos was established and trained to differentiate TTS from AMI. While this system was more accurate than cardiologists in echocardiography-based disease classification, further studies are warranted for clinical application.",5,494-503,35353118,8,,,,Assessment of Artificial Intelligence in Echocardiography Diagnostics in Differentiating Takotsubo Syndrome from Myocardial Infarction,,A
,Atrial Impairment as a Marker in Discriminating between Takotsubo and Acute Myocarditis Using Cardiac Magnetic Resonance,"Takotsubo,atrial strain,cardiac magnetic resonance,myocarditis",10.1097/RTI.0000000000000650,article,Cau2022-10,2022,37,Lippincott Williams and Wilkins,11,Journal of Thoracic Imaging,15360237,"Riccardo Cau,Christian Loewe,Valeria Cherchi,Michele Porcu,Pierluigi Ciet,Jasjit S. Suri,Luca Saba","Purpose: The purpose of this study was to comprehensively compare the left and right atrium strain and strain rate (SR) parameters by cardiac magnetic resonance (CMR) between patients with Takotsubo (TS) and patients with acute myocarditis (AM). Materials and Methods: We retrospectively enrolled 3 groups of patients: TS (n=18), AM (n=14), and 11 healthy subjects. All the patients had complete CMR data for features tracking assessment. Differences in reservoir, conduit strain (ϵe), conduit strain rate (SRe), and booster phase of biatrial strain were analyzed between the groups using analysis of variance and multivariate analysis of covariance analyses. Intraobserver and interobserver reproducibility was assessed for all strain and SR parameters using intraclass correlation coefficients and Bland-Altman analysis. Results: Atrial strain was feasible in all patients and controls. In TS, left atrium (LA) reservoir strain (ϵs), reservoir SR, ϵe, and SRe were significantly lower compared with the other groups (P=0,001 for all). multivariate analysis of covariance analysis showed association of these parameters after correction for age and sex, while LA booster deformation (ϵaand SRa) strain parameters were preserved. LA SRe proved to have excellent sensitivity in differentiating patients with TS from those with AM (areas under the curves of 0.903, 95% confidence interval: 0.81-0.99). Biatrial strain and SR parameters showed good (excellent) intraobserver and interobserver reproducibility (ranged between 0.61 to 0.96 and 0.50 to 0.90, respectively). Conclusion: Compared with AM, patients with TS showed significantly decreased LA reservoir, conduit strain, and SR parameters. Therefore, LA strain assessment may have a role in discriminating between TS and AM.",6,W78-W84,36306267,9,,,,Atrial Impairment as a Marker in Discriminating between Takotsubo and Acute Myocarditis Using Cardiac Magnetic Resonance,,A
,Atrial mechanics and their prognostic impact in Takotsubo syndrome: A cardiovascular magnetic resonance imaging study,"Takotsubo,atrial deformation,cardiovascular magnetic resonance,feature tracking,prognosis",10.1093/ehjci/jey219,article,Backhaus2019,2019,20,Oxford University Press,9,European Heart Journal Cardiovascular Imaging,20472412,"Sören J. Backhaus,Thomas Stiermaier,Torben Lange,Amedeo Chiribiri,Johannes Uhlig,Anne Freund,Johannes T. Kowallick,Roman J. Gertz,Boris Bigalke,Adriana Villa,Joachim Lotz,Gerd Hasenfuß,Holger Thiele,Ingo Eitel,Andreas Schuster","Aims: The exact pathophysiology of Takotsubo syndrome (TTS) remains not fully understood with most studies focussing on ventricular pathology. Since atrial involvement may have a significant role, we assessed the diagnostic and prognostic potential of atrial cardiovascular magnetic resonance feature tracking (CMR-FT) in TTS. Methods and results: This multicentre study recruited 152 TTS patients who underwent CMR on average within 3 days after hospitalization. Reservoir [total strain ϵs and peak positive strain rate (SR) SRs], conduit (passive strain ϵe and peak early negative SRe), and booster pump function (active strain ϵa and peak late negative SRa) were assessed in a core laboratory. Results were compared with 21 control patients with normal biventricular function. A total of 20 patients underwent follow-up CMR (median 3.5 months, interquartile range 3-5). All patients were approached for general follow-up. Left atrial (LA) but not right atrial (RA) reservoir and conduit function were impaired during the acute phase (ϵs: P = 0.043, ϵe: P < 0.001, SRe: P = 0.047 vs. controls) and recovered until follow-up (ϵs: P < 0.001, SRs: P = 0.04, ϵe: P = 0.001, SRe: P = 0.04). LA and RA booster pump function were increased in the acute setting (LA-ϵa: P = 0.045, SRa: P = 0.002 and RA-ϵa: P = 0.004, SRa: P = 0.002 vs. controls). LA-ϵs predicted mortality [hazard ratio 1.10, 95% confidence interval (CI) 1.01-1.20; P = 0.037] irrespectively of established cardiovascular risk factors (P = 0.019, multivariate analysis) including left ventricular ejection fraction (LVEF) (area under the curve 0.71, 95% CI 0.55-0.86, P = 0.048). Conclusion: TTS pathophysiology comprises transient impairments in LA reservoir and conduit functions and enhanced bi-atrial active booster pump functions. Atrial CMR-FT may evolve as a superior marker of adverse events over and above established parameters such as LVEF and atrial volume.",9,1059-1069,30649241,10,,,,Atrial mechanics and their prognostic impact in Takotsubo syndrome: A cardiovascular magnetic resonance imaging study,,A
