Model,OUTER_FOLD,INNER_FOLD,HPset,LR,WD,DR,P,Epochs,trained
MultiViewCNN,1,1,1,0.0002,1e-06,0.2,4,30,True
MultiViewCNN,1,1,2,0.0002,0.0001,0.2,4,30,True
MultiViewCNN,1,1,3,0.0002,1e-06,0.3,4,30,True
MultiViewCNN,1,1,4,0.0002,0.0001,0.3,4,30,True
MultiViewCNN,1,1,5,0.0002,1e-06,0.4,4,30,True
MultiViewCNN,1,1,6,0.0002,0.0001,0.4,4,30,True
MultiViewCNN,1,1,7,0.0005,1e-06,0.2,4,30,True
MultiViewCNN,1,1,8,0.0005,0.0001,0.2,4,30,True
MultiViewCNN,1,1,9,0.0005,1e-06,0.3,4,30,True
MultiViewCNN,1,1,10,0.0005,0.0001,0.3,4,30,True
MultiViewCNN,1,1,11,0.0005,1e-06,0.4,4,30,True
MultiViewCNN,1,1,12,0.0005,0.0001,0.4,4,30,True
MultiViewCNN,1,1,13,0.0008,1e-06,0.2,4,30,True
MultiViewCNN,1,1,14,0.0008,0.0001,0.2,4,30,True
MultiViewCNN,1,1,15,0.0008,1e-06,0.3,4,30,True
MultiViewCNN,1,1,16,0.0008,0.0001,0.3,4,30,True
MultiViewCNN,1,1,17,0.0008,1e-06,0.4,4,30,True
MultiViewCNN,1,1,18,0.0008,0.0001,0.4,4,30,True
MultiViewCNN,1,2,1,0.0002,1e-06,0.2,4,30,True
MultiViewCNN,1,2,2,0.0002,0.0001,0.2,4,30,True
MultiViewCNN,1,2,3,0.0002,1e-06,0.3,4,30,True
MultiViewCNN,1,2,4,0.0002,0.0001,0.3,4,30,True
MultiViewCNN,1,2,5,0.0002,1e-06,0.4,4,30,True
MultiViewCNN,1,2,6,0.0002,0.0001,0.4,4,30,True
MultiViewCNN,1,2,7,0.0005,1e-06,0.2,4,30,True
MultiViewCNN,1,2,8,0.0005,0.0001,0.2,4,30,True
MultiViewCNN,1,2,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,1,2,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,1,2,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,1,2,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,1,2,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,1,2,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,1,2,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,1,2,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,1,2,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,1,2,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,1,3,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,1,3,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,1,3,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,1,3,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,1,3,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,1,3,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,1,3,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,1,3,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,1,3,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,1,3,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,1,3,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,1,3,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,1,3,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,1,3,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,1,3,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,1,3,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,1,3,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,1,3,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,2,1,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,2,1,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,2,1,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,2,1,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,2,1,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,2,1,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,2,1,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,2,1,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,2,1,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,2,1,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,2,1,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,2,1,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,2,1,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,2,1,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,2,1,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,2,1,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,2,1,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,2,1,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,2,2,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,2,2,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,2,2,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,2,2,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,2,2,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,2,2,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,2,2,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,2,2,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,2,2,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,2,2,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,2,2,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,2,2,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,2,2,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,2,2,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,2,2,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,2,2,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,2,2,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,2,2,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,2,3,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,2,3,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,2,3,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,2,3,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,2,3,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,2,3,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,2,3,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,2,3,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,2,3,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,2,3,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,2,3,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,2,3,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,2,3,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,2,3,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,2,3,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,2,3,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,2,3,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,2,3,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,3,1,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,3,1,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,3,1,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,3,1,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,3,1,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,3,1,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,3,1,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,3,1,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,3,1,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,3,1,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,3,1,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,3,1,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,3,1,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,3,1,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,3,1,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,3,1,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,3,1,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,3,1,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,3,2,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,3,2,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,3,2,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,3,2,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,3,2,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,3,2,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,3,2,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,3,2,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,3,2,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,3,2,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,3,2,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,3,2,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,3,2,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,3,2,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,3,2,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,3,2,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,3,2,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,3,2,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,3,3,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,3,3,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,3,3,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,3,3,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,3,3,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,3,3,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,3,3,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,3,3,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,3,3,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,3,3,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,3,3,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,3,3,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,3,3,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,3,3,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,3,3,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,3,3,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,3,3,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,3,3,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,4,1,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,4,1,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,4,1,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,4,1,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,4,1,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,4,1,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,4,1,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,4,1,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,4,1,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,4,1,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,4,1,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,4,1,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,4,1,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,4,1,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,4,1,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,4,1,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,4,1,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,4,1,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,4,2,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,4,2,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,4,2,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,4,2,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,4,2,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,4,2,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,4,2,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,4,2,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,4,2,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,4,2,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,4,2,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,4,2,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,4,2,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,4,2,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,4,2,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,4,2,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,4,2,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,4,2,18,0.0008,0.0001,0.4,4,30,False
MultiViewCNN,4,3,1,0.0002,1e-06,0.2,4,30,False
MultiViewCNN,4,3,2,0.0002,0.0001,0.2,4,30,False
MultiViewCNN,4,3,3,0.0002,1e-06,0.3,4,30,False
MultiViewCNN,4,3,4,0.0002,0.0001,0.3,4,30,False
MultiViewCNN,4,3,5,0.0002,1e-06,0.4,4,30,False
MultiViewCNN,4,3,6,0.0002,0.0001,0.4,4,30,False
MultiViewCNN,4,3,7,0.0005,1e-06,0.2,4,30,False
MultiViewCNN,4,3,8,0.0005,0.0001,0.2,4,30,False
MultiViewCNN,4,3,9,0.0005,1e-06,0.3,4,30,False
MultiViewCNN,4,3,10,0.0005,0.0001,0.3,4,30,False
MultiViewCNN,4,3,11,0.0005,1e-06,0.4,4,30,False
MultiViewCNN,4,3,12,0.0005,0.0001,0.4,4,30,False
MultiViewCNN,4,3,13,0.0008,1e-06,0.2,4,30,False
MultiViewCNN,4,3,14,0.0008,0.0001,0.2,4,30,False
MultiViewCNN,4,3,15,0.0008,1e-06,0.3,4,30,False
MultiViewCNN,4,3,16,0.0008,0.0001,0.3,4,30,False
MultiViewCNN,4,3,17,0.0008,1e-06,0.4,4,30,False
MultiViewCNN,4,3,18,0.0008,0.0001,0.4,4,30,False
