Model,outer_fold,inner_fold,paramID,LR,WD,DR,epochs,epoch,val_loss,best_val_loss,fold,avg_val_loss
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,0.0,0.6938917771462472,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,1.0,0.6849624514579773,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,2.0,0.6737695913161,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,3.0,0.6713715234110432,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,4.0,0.6651239991188049,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,5.0,0.6524295133929099,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,6.0,0.6441573769815506,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,7.0,0.6284093760674999,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,8.0,0.6272601715980037,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,9.0,0.6173108181645793,,,
MultiViewCNN,0,0,1,0.0005,0.0001,0.2,10.0,,,0.6173,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,0.0,0.6872119557472968,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,1.0,0.6797260122914468,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,2.0,0.667720127490259,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,3.0,0.6596552229696705,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,4.0,0.6517618067802922,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,5.0,0.6479547965911127,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,6.0,0.6402264448904222,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,7.0,0.653822866178328,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,8.0,0.6327723207012299,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,9.0,0.6121225933874807,,,
MultiViewCNN,0,1,1,0.0005,0.0001,0.2,10.0,,,0.6121,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,0.0,0.6920229907958738,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,1.0,0.6896567767666232,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,2.0,0.6862948171554073,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,3.0,0.6885818973664315,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,4.0,0.6847562155415935,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,5.0,0.6795647894182513,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,6.0,0.6977485245273959,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,7.0,0.6926504661959987,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,8.0,0.6902046299749806,,,
MultiViewCNN,0,2,1,0.0005,0.0001,0.2,10.0,,,0.6796,,
MultiViewCNN,0,0,1,,,,,,,,0.0,0.6363
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,0.0,0.6936414030290419,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,1.0,0.6918245092515023,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,2.0,0.6884594367396447,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,3.0,0.6829067699370845,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,4.0,0.6814357080767232,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,5.0,0.6809411702617523,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,6.0,0.6757741743518461,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,7.0,0.6724787258332775,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,8.0,0.6755285166924999,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,9.0,0.6766337733114919,,,
MultiViewCNN,0,0,2,0.0005,0.0001,0.3,10.0,,,0.6725,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,0.0,0.6939078896276413,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,1.0,0.6883701412908493,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,2.0,0.6794494525078805,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,3.0,0.6687406878317556,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,4.0,0.6586925175882155,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,5.0,0.648218322184778,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,6.0,0.6421606521452626,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,7.0,0.6325267168783373,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,8.0,0.6295973004833344,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,9.0,0.6282503893298488,,,
MultiViewCNN,0,1,2,0.0005,0.0001,0.3,10.0,,,0.6283,,
MultiViewCNN,0,2,2,0.0005,0.0001,0.3,10.0,0.0,0.6909957912660414,,,
