timestamp,optimizer,Patience,weight_decay,threshold_cutoff,dropout_rate,padd_size,ker_size,Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Learning Rate,Best Val Loss
2025-06-30_21:59,Adam,3,0.0001,0.5,0.4,1,2,1,6.3839,0.5185,54.13,69.57,0.001,0.5185
2025-06-30_21:59,Adam,3,0.0001,0.5,0.4,1,2,2,1.8918,0.5185,52.29,86.96,0.001,0.5185
2025-06-30_21:59,Adam,3,0.0001,0.5,0.4,1,2,3,0.6515,0.6336,66.97,56.52,0.001,0.5185
2025-06-30_21:59,Adam,3,0.0001,0.5,0.4,1,2,4,0.5972,0.6156,70.64,60.87,0.001,0.5185
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,1,7.2864,0.8195,54.13,56.52,0.001,0.8195
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,2,1.5673,0.6808,51.38,73.91,0.001,0.6808
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,3,0.6784,0.7052,62.39,52.17,0.001,0.6808
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,4,0.6301,0.6312,64.22,69.57,0.001,0.6312
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,5,0.6131,0.6234,64.22,69.57,0.001,0.6234
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,6,0.5410,0.5990,70.64,65.22,0.001,0.5990
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,7,0.5540,0.6807,66.97,69.57,0.001,0.5990
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,8,0.5317,0.5545,67.89,69.57,0.001,0.5545
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,9,0.5417,0.6126,68.81,65.22,0.001,0.5545
2025-06-30_22-09,Adam,3,0.0001,0.5,0.4,1,2,10,0.5333,0.6495,65.14,69.57,0.001,0.5545
2025-06-30_22-19,Adam,5,0.0001,0.5,0.4,1,2,1,4.7955,1.8079,46.79,47.83,0.001,1.8079
2025-06-30_22-19,Adam,5,0.0001,0.5,0.4,1,2,2,1.0869,0.8948,62.39,52.17,0.001,0.8948
2025-06-30_22-19,Adam,5,0.0001,0.5,0.4,1,2,3,0.7138,0.7051,57.80,73.91,0.001,0.7051
