timestamp,auc_score,normal_precision,normal_recall,normal_f1,takotsubo_precision,takotsubo_recall,takotsubo_f1,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,uncalibrated_brier,calibrated_brier
2025-06-30_21:59,0.8194,0.6471,0.9167,0.7586,0.8571,0.5000,0.6316,0.7083,0.7521,0.7083,0.6951,0.7521,0.7083,0.6951,0.1952,0.1778
2025-06-30_22-09,0.7222,0.6429,0.7500,0.6923,0.7000,0.5833,0.6364,0.6667,0.6714,0.6667,0.6643,0.6714,0.6667,0.6643,0.2154,0.2292
2025-06-30_22-19,0.7292,0.8000,0.3333,0.4706,0.5789,0.9167,0.7097,0.6250,0.6895,0.6250,0.5901,0.6895,0.6250,0.5901,0.2278,0.2145
2025-06-30_22-19,0.7292,0.8000,0.3333,0.4706,0.5789,0.9167,0.7097,0.6250,0.6895,0.6250,0.5901,0.6895,0.6250,0.5901,0.2278,0.2145
2025-06-30_22-44,0.8403,0.6875,0.9167,0.7857,0.8750,0.5833,0.7000,0.7500,0.7812,0.7500,0.7429,0.7812,0.7500,0.7429,0.2022,0.2073
2025-06-30_22-57,0.7153,0.6667,0.5000,0.5714,0.6000,0.7500,0.6667,0.6250,0.6333,0.6250,0.6190,0.6333,0.6250,0.6190,0.2226,0.2176
2025-06-30_22-57,0.7153,0.6667,0.5000,0.5714,0.6000,0.7500,0.6667,0.6250,0.6333,0.6250,0.6190,0.6333,0.6250,0.6190,0.2226,0.2176
2025-06-30_23-12,0.6458,0.7500,0.2500,0.3750,0.5500,0.9167,0.6875,0.5833,0.6500,0.5833,0.5312,0.6500,0.5833,0.5312,0.2389,0.2373
2025-06-30_23-12,0.6458,0.7500,0.2500,0.3750,0.5500,0.9167,0.6875,0.5833,0.6500,0.5833,0.5312,0.6500,0.5833,0.5312,0.2389,0.2373
2025-06-30_22-57,0.7153,0.6667,0.5000,0.5714,0.6000,0.7500,0.6667,0.6250,0.6333,0.6250,0.6190,0.6333,0.6250,0.6190,0.2226,0.2176
2025-06-30_23-12,0.6458,0.7500,0.2500,0.3750,0.5500,0.9167,0.6875,0.5833,0.6500,0.5833,0.5312,0.6500,0.5833,0.5312,0.2389,0.2373
2025-06-30_23-12,0.6458,0.7500,0.2500,0.3750,0.5500,0.9167,0.6875,0.5833,0.6500,0.5833,0.5312,0.6500,0.5833,0.5312,0.2389,0.2373
2025-06-30_23-17,0.3958,0.2500,0.1667,0.2000,0.3750,0.5000,0.4286,0.3333,0.3125,0.3333,0.3143,0.3125,0.3333,0.3143,0.2579,0.2851
2025-07-01_16-11,0.9236,0.7333,0.9167,0.8148,0.8889,0.6667,0.7619,0.7917,0.8111,0.7917,0.7884,0.8111,0.7917,0.7884,0.1426,0.1631
2025-07-01_19-30,0.9236,0.7333,0.9167,0.8148,0.8889,0.6667,0.7619,0.7917,0.8111,0.7917,0.7884,0.8111,0.7917,0.7884,0.1426,0.2216
2025-07-03_19-34,0.7847,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.1881,0.1871
