Number,Initial Letter,Name,Status,Theme,Year,Type,Notes,Priority,No. of Citations,Author,Abstract,Tags,Keywords,Url,Issn,Doi,Aim
1,A,A Unified Approach to Interpreting Model Predictions,Done,"AI, ML",2017,,,,,"Paul G Allen, Scott M Lundberg, Su-In Lee","Understanding why a model makes a certain prediction can be as crucial as the prediction's accuracy in many applications. However, the highest accuracy for large modern datasets is often achieved by complex models that even experts struggle to interpret, such as ensemble or deep learning models, creating a tension between accuracy and interpretability. In response, various methods have recently been proposed to help users interpret the predictions of complex models, but it is often unclear how these methods are related and when one method is preferable over another. To address this problem, we present a unified framework for interpreting predictions, SHAP (SHapley Additive exPlanations). SHAP assigns each feature an importance value for a particular prediction. Its novel components include: (1) the identification of a new class of additive feature importance measures, and (2) theoretical results showing there is a unique solution in this class with a set of desirable properties. The new class unifies six existing methods, notable because several recent methods in the class lack the proposed desirable properties. Based on insights from this unification, we present new methods that show improved computational performance and/or better consistency with human intuition than previous approaches.","Artificial Intelligence, Explainability, Machine Learning",,https://github.com/slundberg/shap,,,
2,A,Advanced Cardiovascular Magnetic Resonance Imaging in Takotsubo Syndrome: Update on Feature Tracking and Tissue Mapping,Done,"Biomarkers, CMR, Tako",2024,"Article, Review",,High,,"Alessandro Cianca, Beatrice Musumeci, Giacomo Tini, Luca Arcari, Luca Cacciotti, Matteo Sclafani, Viviana Maestrini","Backgrounds: Takotsubo syndrome (TTS) is an intriguing clinical entity characterized by transient myocardial dysfunction. The precise pathophysiological mechanism of TTS is still unknown, but recent evidence suggests a central role of systemic inflammation associated with adrenergic discharge. Although initially considered benign, TTS has shown several potential short-term and long-term complications and adverse outcomes. To improve understanding and management, advanced cardiovascular magnetic resonance (CMR) techniques, such as feature tracking (FT) and parametric mapping, have gained attention. Purpose of Review: The purpose of this review is to summarize the current literature on the clinical applications of CMR-FT and mapping in TTS. Additionally, the most significant and recent findings will be discussed. Recent Findings: FT-CMR enables the parametric quantification of myocardial deformation, allowing a comprehensive evaluation of left ventricular, right ventricular, and atrial function. It provides an accurate definition of areas of myocardial dysfunction and potentially serves as a superior prognostic tool compared to ejection fraction. Tissue mapping techniques enable precise and comprehensive tissue characterization by quantifying areas of oedema, and myocardial fibrosis. Summary: FT-CMR and mapping techniques serve as valuable prognostic tools both in the acute and chronic phases of TTS. They can detect subtle alterations and pan-cardiac involvement, while also providing important insights into the complex underlying mechanisms of the syndrome.","Cardiovascular Magnetic Resonance, Feature Tracking, Mapping, Takotsubo","Cardiovascular Magnetic Resonance,Feature Tracking,Mapping,Takotsubo",,19419074,10.1007/s12410-024-09593-9,"Summarize current literature on clinical applications of CMR-FT and mapping in TS, discuss their significant and recent findings and their clinical utility.

"
3,A,Application of AI in cardiovascular multimodality imaging,In progress,AI,2022,"Article, Review",,,,"Alberto Senatieri, Andrea Igoren Guaricci, Denisa Muraru, Gianluca Pontone, Giuseppe Muscogiuri, Gregorio Chierchia, Luca Saba, Luigi P. Badano, Marco Guglielmo, Mason G. Andrews, Mattia Chiesa, Paolo Basile, Paolo Marra, Riccardo Cau, Sandro Sironi, Serena Dell'Aversana, U. Joseph Schoepf, Valentina Volpato","Technical advances in artificial intelligence (AI) in cardiac imaging are rapidly improving the reproducibility of this approach and the possibility to reduce time necessary to generate a report. In cardiac computed tomography angiography (CCTA) the main application of AI in clinical practice is focused on detection of stenosis, characterization of coronary plaques, and detection of myocardial ischemia. In cardiac magnetic resonance (CMR) the application of AI is focused on post-processing and particularly on the segmentation of cardiac chambers during late gadolinium enhancement. In echocardiography, the application of AI is focused on segmentation of cardiac chambers and is helpful for valvular function and wall motion abnormalities. The common thread represented by all of these techniques aims to shorten the time of interpretation without loss of information compared to the standard approach. In this review we provide an overview of AI applications in multimodality cardiac imaging.","Artificial Intelligence, Cardiac Computed Tomography Angiography, Cardiac Magnetic Resonance, Coronary Plaque, Echocardiography, Late Gadolinium Enhancement","Artificial intelligence,Cardiac computed tomography angiography,Cardiac magnetic resonance,Coronary plaque,Late gadolinium enhancement,echocardiography",,24058440,10.1016/j.heliyon.2022.e10872,"provide an overview of AI applications in multimodality cardiac imaging, like CT, CMR,  Echocardiography.

highlight how AI addresses limitations of traditional imaging, such as variability, suboptimal image quality, and time-consuming exams
"
4,A,Artificial Intelligence Applications in Cardiovascular Magnetic Resonance Imaging: Are We on the Path to Avoiding the Administration of Contrast Media?,Not started,,2023,,,,,"Francesco Pisu, Jasjit S. Suri, Lorenzo Mannelli, Luca Saba, Mariano Scaglione, Riccardo Cau, Salvatore Masala","In recent years, cardiovascular imaging examinations have experienced exponential growth due to technological innovation, and this trend is consistent with the most recent chest pain guidelines. Contrast media have a crucial role in cardiovascular magnetic resonance (CMR) imaging, allowing for more precise characterization of different cardiovascular diseases. However, contrast media have contraindications and side effects that limit their clinical application in determinant patients. The application of artificial intelligence (AI)-based techniques to CMR imaging has led to the development of non-contrast models. These AI models utilize non-contrast imaging data, either independently or in combination with clinical and demographic data, as input to generate diagnostic or prognostic algorithms. In this review, we provide an overview of the main concepts pertaining to AI, review the existing literature on non-contrast AI models in CMR, and finally, discuss the strengths and limitations of these AI models and their possible future development.","Ai, Cardiovascular Imaging, Cmr, Non-contrast Images","AI,CMR,cardiovascular imaging,non-contrast images",,20754418,10.3390/diagnostics13122061,
5,A,Artificial Intelligence in the Differential Diagnosis of Cardiomyopathy Phenotypes,Not started,,2024,,,,,"Francesco Pisu, Jasjit S. Suri, Lorenzo Mannelli, Luca Saba, Marco Gatti, Riccardo Cau, Roberta Montisci, Xiangyang Gong","Artificial intelligence (AI) is rapidly being applied to the medical field, especially in the cardiovascular domain. AI approaches have demonstrated their applicability in the detection, diagnosis, and management of several cardiovascular diseases, enhancing disease stratification and typing. Cardiomyopathies are a leading cause of heart failure and life-threatening ventricular arrhythmias. Identifying the etiologies is fundamental for the management and diagnostic pathway of these heart muscle diseases, requiring the integration of various data, including personal and family history, clinical examination, electrocardiography, and laboratory investigations, as well as multimodality imaging, making the clinical diagnosis challenging. In this scenario, AI has demonstrated its capability to capture subtle connections from a multitude of multiparametric datasets, enabling the discovery of hidden relationships in data and handling more complex tasks than traditional methods. This review aims to present a comprehensive overview of the main concepts related to AI and its subset. Additionally, we review the existing literature on AI-based models in the differential diagnosis of cardiomyopathy phenotypes, and we finally examine the advantages and limitations of these AI approaches.","Artificial Intelligence, Cardiomyopathy, Deep Learning, Machine Learning","artificial intelligence,cardiomyopathy,deep learning,machine learning",,20754418,10.3390/diagnostics14020156,
6,A,Atrial Impairment as a Marker in Discriminating between Takotsubo and Acute Myocarditis Using Cardiac Magnetic Resonance,Not started,,2022,,,,,"Christian Loewe, Jasjit S. Suri, Luca Saba, Michele Porcu, Pierluigi Ciet, Riccardo Cau, Valeria Cherchi","Purpose: The purpose of this study was to comprehensively compare the left and right atrium strain and strain rate (SR) parameters by cardiac magnetic resonance (CMR) between patients with Takotsubo (TS) and patients with acute myocarditis (AM). Materials and Methods: We retrospectively enrolled 3 groups of patients: TS (n=18), AM (n=14), and 11 healthy subjects. All the patients had complete CMR data for features tracking assessment. Differences in reservoir, conduit strain (ϵe), conduit strain rate (SRe), and booster phase of biatrial strain were analyzed between the groups using analysis of variance and multivariate analysis of covariance analyses. Intraobserver and interobserver reproducibility was assessed for all strain and SR parameters using intraclass correlation coefficients and Bland-Altman analysis. Results: Atrial strain was feasible in all patients and controls. In TS, left atrium (LA) reservoir strain (ϵs), reservoir SR, ϵe, and SRe were significantly lower compared with the other groups (P=0,001 for all). multivariate analysis of covariance analysis showed association of these parameters after correction for age and sex, while LA booster deformation (ϵaand SRa) strain parameters were preserved. LA SRe proved to have excellent sensitivity in differentiating patients with TS from those with AM (areas under the curves of 0.903, 95% confidence interval: 0.81-0.99). Biatrial strain and SR parameters showed good (excellent) intraobserver and interobserver reproducibility (ranged between 0.61 to 0.96 and 0.50 to 0.90, respectively). Conclusion: Compared with AM, patients with TS showed significantly decreased LA reservoir, conduit strain, and SR parameters. Therefore, LA strain assessment may have a role in discriminating between TS and AM.","Atrial Strain, Cardiac Magnetic Resonance, Myocarditis, Takotsubo","Takotsubo,atrial strain,cardiac magnetic resonance,myocarditis",,15360237,10.1097/RTI.0000000000000650,
7,A,Atrial mechanics and their prognostic impact in Takotsubo syndrome: A cardiovascular magnetic resonance imaging study,Not started,,2019,,,,,"Adriana Villa, Amedeo Chiribiri, Andreas Schuster, Anne Freund, Boris Bigalke, Gerd Hasenfuß, Holger Thiele, Ingo Eitel, Joachim Lotz, Johannes T. Kowallick, Johannes Uhlig, Roman J. Gertz, Sören J. Backhaus, Thomas Stiermaier, Torben Lange","Aims: The exact pathophysiology of Takotsubo syndrome (TTS) remains not fully understood with most studies focussing on ventricular pathology. Since atrial involvement may have a significant role, we assessed the diagnostic and prognostic potential of atrial cardiovascular magnetic resonance feature tracking (CMR-FT) in TTS. Methods and results: This multicentre study recruited 152 TTS patients who underwent CMR on average within 3 days after hospitalization. Reservoir [total strain ϵs and peak positive strain rate (SR) SRs], conduit (passive strain ϵe and peak early negative SRe), and booster pump function (active strain ϵa and peak late negative SRa) were assessed in a core laboratory. Results were compared with 21 control patients with normal biventricular function. A total of 20 patients underwent follow-up CMR (median 3.5 months, interquartile range 3-5). All patients were approached for general follow-up. Left atrial (LA) but not right atrial (RA) reservoir and conduit function were impaired during the acute phase (ϵs: P = 0.043, ϵe: P < 0.001, SRe: P = 0.047 vs. controls) and recovered until follow-up (ϵs: P < 0.001, SRs: P = 0.04, ϵe: P = 0.001, SRe: P = 0.04). LA and RA booster pump function were increased in the acute setting (LA-ϵa: P = 0.045, SRa: P = 0.002 and RA-ϵa: P = 0.004, SRa: P = 0.002 vs. controls). LA-ϵs predicted mortality [hazard ratio 1.10, 95% confidence interval (CI) 1.01-1.20; P = 0.037] irrespectively of established cardiovascular risk factors (P = 0.019, multivariate analysis) including left ventricular ejection fraction (LVEF) (area under the curve 0.71, 95% CI 0.55-0.86, P = 0.048). Conclusion: TTS pathophysiology comprises transient impairments in LA reservoir and conduit functions and enhanced bi-atrial active booster pump functions. Atrial CMR-FT may evolve as a superior marker of adverse events over and above established parameters such as LVEF and atrial volume.","Atrial Deformation, Cardiovascular Magnetic Resonance, Feature Tracking, Prognosis, Takotsubo","Takotsubo,atrial deformation,cardiovascular magnetic resonance,feature tracking,prognosis",,20472412,10.1093/ehjci/jey219,
8,A,"Atrial Strain by Feature-Tracking Cardiac Magnetic Resonance Imaging in Takotsubo Cardiomyopathy. Features, Feasibility, and Reproducibility",Not started,,2022,,,,,"Antonio Esposito, Gloria Caredda, Jasjit S. Suri, Luca Saba, Pierpaolo Bassareo, Riccardo Cau","Objectives: The purpose of this study was to investigate whether there may be a bi-atrial dysfunction in Takotsubo syndrome (TS) during the transient course of the disease, using cardiac magnetic resonance imaging feature tracking (CMR-FT) in analyzing bi-atrial strain. Method: Eighteen TS patients and 13 healthy controls were studied. Reservoir, conduit, and booster bi-atrial functions were analyzed by CMR-FT. The correlation between LA and RA strain parameters was assessed. Intra- and inter-observer reproducibility was evaluated for all strain and strain rate (SR) parameters using intraclass correlation coefficients (ICCs) and Bland-Altman analysis. Results: Atrial strain were feasible in all patients and controls. Takotsubo patients showed an impaired LA Reservoir strain (∊s), LA Reservoir strain rate (SRs), LA and RA Conduit strain(∊e), LA and RA conduit strain rate (SRe) in comparison with controls (P < 0.001 for all of them), while no differences were found as to LA and RA booster deformation parameters (∊a and SRa). Analysis of correlation showed that LA ∊s, SRs, ∊e, and SRe were positively correlated with corresponding RA strain measurements (P < 0.001, r = 0.61 and P = 0,03, r = 0,54, respectively). Reproducibility was good to excellent for all atrial strain and strain rate parameters (ICCs ranging from 0,50 to 0,96). Conclusion: Atrial strain analysis using CMR-FT may be a useful tool to reveal new pathophysiological insights in Takotsubo cardiomyopathy. Additional studies, with a larger number of patients, are needed to confirm the possible role of these advanced CMR tools in characterizing TS patients.","Atrial Strain, Cmr, Cmr-ft, Imaging, Takotsubo Cardiomyopathy","CMR,CMR-FT,atrial strain,imaging,takotsubo cardiomyopathy",,14882361,10.1177/08465371211042497,
9,B,Bagging Predictors,Not started,,1996,,,,,Leo Bbeiman,"Bagging predictors is a method for generating multiple versions of a predictor and using these to get an aggregated predictor. The aggregation averages over the versions when predicting a numerical outcome and does a plurality vote when predicting a class. The multiple versions are formed by making bootstrap replicates of the learning set and using these as new learning sets. Tests on real and simulated data sets using classification and regression trees and subset selection in linear regression show that bagging can give substantial gains in accuracy. The vital element is the instability of the prediction method. If perturbing the learning set can cause significant changes in the predictor constructed, then bagging can improve accuracy.","Aggregation Bootstrap, Averaging, Combining","Aggregation Bootstrap,Averaging,Combining",,,,
10,B,Base-to-apex Gradient Pattern Assessed by Cardiovascular Magnetic Resonance in Takotsubo Cardiomyopathy,Not started,,2024,,,,,"Alessandra Pintus, Giuseppe Muscogiuri, Jasjit S. Suri, Lorenzo Mannelli, Luca Saba, Marco Francone, Michele Porcu, Riccardo Cau, Roberta Montisci, Vitanio Palmisano","Objectives: The purpose of this study was to investigate the base-to-apex gradient strain pattern as a noncontrast cardiovascular magnetic resonance (CMR) parameter in patients with Takotsubo cardiomyopathy (TTC) and determine whether this pattern may help discriminate TTC from patients with anterior myocardial infarction (AMI). Materials and Methods: A total of 80 patients were included in the analysis: 30 patients with apical ballooning TTC and 50 patients with AMI. Global and regional ventricular function, including longitudinal (LS), circumferential (CS), and radial strain (RS), were assessed using CMR. The base-to-apex LS, RS, and CS gradients, defined as the peak gradient difference between averaged basal and apical strain, were calculated. Results: The base-to-apex RS gradient was impaired in TTC patients compared with the AMI group (14.04 ± 15.50 vs. -0.43 ± 11.59, P=0.001). Conversely, there were no significant differences in the base-to-apex LS and CS gradients between the AMI group and TTC patients (0.14 ± 2.71 vs. -1.5 ± 3.69, P=0.054: -0.99 ± 6.49 vs. ±1.4 ± 5.43, P=0.47, respectively). Beyond the presence and extension of LGE, base-to-apex RS gradient was the only independent discriminator between TTC and AMI (OR 1.28; 95% CI 1.08, 1.52, P=0.006) in multivariate logistic regression analysis. Conclusion: The findings of this study suggest that the pattern of regional myocardial strain impairment could serve as an additional noncontrast CMR tool to refine the diagnosis of TTC. A pronounced base-to-apex RS gradient may be a specific left ventricle strain pattern of TTC.","Base-to-apex Gradients, Cmr, Myocardial Strain, Takotsubo Syndrome","CMR,Takotsubo syndrome,base-to-apex gradients,myocardial strain",,15360237,10.1097/RTI.0000000000000761,
